#gene_id	GO
SpGA2022_000049-R0	GO:0006886,GO:0006888,GO:0008270,GO:0030127
SpGA2022_000050-R0	GO:0005515
SpGA2022_000051-R0	GO:0003676
SpGA2022_000051-R1	GO:0003676
SpGA2022_000052-R0	NA
SpGA2022_000053-R0	NA
SpGA2022_000054-R0	NA
SpGA2022_050012-R0	GO:0003924,GO:0005525,GO:0006614,GO:0008312,GO:0048500
SpGA2022_050013-R0	NA
SpGA2022_000057-R0	GO:0006807
SpGA2022_000058-R0	NA
SpGA2022_000059-R0	GO:0007165
SpGA2022_000060-R0	NA
SpGA2022_000061-R0	NA
SpGA2022_050014-R0	GO:0005515
SpGA2022_000063-R0	NA
SpGA2022_000064-R0	GO:0005515
SpGA2022_050015-R0	NA
SpGA2022_000066-R0	GO:0003950
SpGA2022_000067-R0	NA
SpGA2022_000068-R0	NA
SpGA2022_000069-R0	GO:0003993,GO:0006486,GO:0008373,GO:0016787,GO:0046872
SpGA2022_000070-R0	NA
SpGA2022_050016-R0	GO:0022857,GO:0055085
SpGA2022_000073-R0	GO:0003677,GO:0008270
SpGA2022_000073-R1	GO:0003677,GO:0008270
SpGA2022_000074-R0	NA
SpGA2022_000075-R0	NA
SpGA2022_050018-R0	NA
SpGA2022_000076-R0	GO:0005515,GO:0008270
SpGA2022_000077-R0	GO:0016788
SpGA2022_050019-R0	GO:0005515,GO:0005634,GO:0006325,GO:0006351,GO:0006355
SpGA2022_000080-R0	GO:0005515
SpGA2022_000081-R0	NA
SpGA2022_000082-R0	GO:0046872
SpGA2022_000083-R0	GO:0000160
SpGA2022_000084-R0	GO:0005515,GO:0006283
SpGA2022_050020-R0	GO:0000166,GO:0003676,GO:0003677,GO:0003887,GO:0005634,GO:0006260,GO:0006281,GO:0008270,GO:0008622
SpGA2022_050021-R0	NA
SpGA2022_050022-R0	GO:0004672,GO:0005524,GO:0006468
SpGA2022_000088-R0	GO:0004672,GO:0005524,GO:0006468
SpGA2022_000088-R1	GO:0004672,GO:0005524,GO:0006468
SpGA2022_050024-R0	GO:0005975,GO:0033926
SpGA2022_000090-R0	GO:0004407,GO:0016575
SpGA2022_050025-R0	NA
SpGA2022_000092-R0	GO:0004519,GO:0005515
SpGA2022_050026-R0	GO:0003824,GO:0003844,GO:0004553,GO:0005975,GO:0005978,GO:0043169
SpGA2022_000094-R0	NA
SpGA2022_000095-R0	GO:0031047
SpGA2022_000095-R1	GO:0005515,GO:0031047
SpGA2022_000095-R2	NA
SpGA2022_000096-R0	NA
SpGA2022_000097-R0	NA
SpGA2022_050029-R0	NA
SpGA2022_000099-R0	NA
SpGA2022_000100-R0	NA
SpGA2022_000101-R0	NA
SpGA2022_000102-R0	GO:0008194
SpGA2022_000103-R0	NA
SpGA2022_000104-R0	NA
SpGA2022_000105-R0	NA
SpGA2022_000106-R0	NA
SpGA2022_000107-R0	GO:0003824,GO:0004332,GO:0006096
SpGA2022_000108-R0	NA
SpGA2022_000109-R0	GO:0006631,GO:0016491,GO:0045300
SpGA2022_050030-R0	GO:0048544
SpGA2022_000110-R0	NA
SpGA2022_000111-R0	NA
SpGA2022_000112-R0	NA
SpGA2022_000114-R0	NA
SpGA2022_000115-R0	NA
SpGA2022_000116-R0	NA
SpGA2022_050031-R0	GO:0004672,GO:0005524,GO:0006468
SpGA2022_000118-R0	NA
SpGA2022_000119-R0	NA
SpGA2022_000120-R0	GO:0005576,GO:0008083,GO:0008283
SpGA2022_000121-R0	NA
SpGA2022_000122-R0	NA
SpGA2022_000123-R0	GO:0004664,GO:0009094
SpGA2022_000124-R0	NA
SpGA2022_000125-R0	NA
SpGA2022_000126-R0	GO:0016491
SpGA2022_000127-R0	NA
SpGA2022_000128-R0	GO:0003676,GO:0005524
SpGA2022_000129-R0	NA
SpGA2022_000130-R0	NA
SpGA2022_000131-R0	GO:0003680
SpGA2022_000132-R0	NA
SpGA2022_000133-R0	GO:0045927
SpGA2022_000134-R0	NA
SpGA2022_000135-R0	GO:0000398,GO:0003676,GO:0005681,GO:0008270
SpGA2022_050032-R0	NA
SpGA2022_000137-R0	GO:0003824
SpGA2022_000138-R0	NA
SpGA2022_000139-R0	NA
SpGA2022_000140-R0	NA
SpGA2022_000141-R0	NA
SpGA2022_000142-R0	NA
SpGA2022_050033-R0	GO:0000160,GO:0005515
SpGA2022_000144-R0	NA
SpGA2022_000145-R0	NA
SpGA2022_000146-R0	NA
SpGA2022_000147-R0	NA
SpGA2022_050034-R0	GO:0005524,GO:0016020,GO:0042626
SpGA2022_000151-R0	NA
SpGA2022_050035-R0	GO:0005515
SpGA2022_000152-R0	GO:0006355,GO:0008270
SpGA2022_000153-R0	NA
SpGA2022_050036-R0	GO:0006355,GO:0008270
SpGA2022_050037-R0	NA
SpGA2022_000156-R0	NA
SpGA2022_000157-R0	NA
SpGA2022_000158-R0	NA
SpGA2022_000159-R0	NA
SpGA2022_000160-R0	NA
SpGA2022_000161-R0	GO:0003677,GO:0003682
SpGA2022_000162-R0	NA
SpGA2022_000163-R0	NA
SpGA2022_000164-R0	NA
SpGA2022_000165-R0	NA
SpGA2022_050038-R0	GO:0005515
SpGA2022_000167-R0	GO:0005085
SpGA2022_000168-R0	GO:0000272,GO:0016161
SpGA2022_000169-R0	GO:0016787
SpGA2022_000170-R0	GO:0006952,GO:0045926
SpGA2022_050039-R0	NA
SpGA2022_000172-R0	NA
SpGA2022_000173-R0	NA
SpGA2022_000174-R0	NA
SpGA2022_000174-R1	NA
SpGA2022_000176-R0	NA
SpGA2022_000177-R0	GO:0016021
SpGA2022_050041-R0	GO:0008168
SpGA2022_000179-R0	NA
SpGA2022_000180-R0	NA
SpGA2022_000181-R0	NA
SpGA2022_050042-R0	GO:0016020
SpGA2022_000183-R0	NA
SpGA2022_000184-R0	NA
SpGA2022_000185-R0	NA
SpGA2022_000186-R0	NA
SpGA2022_050043-R0	GO:0003676,GO:0003677,GO:0005634,GO:0006260,GO:0006281,GO:0006310,GO:0008270
SpGA2022_050044-R0	GO:0003735,GO:0005840,GO:0006412
SpGA2022_000189-R0	NA
SpGA2022_000190-R0	GO:0015204,GO:0016020,GO:0016021,GO:0022857,GO:0055085,GO:0071918
SpGA2022_000191-R0	NA
SpGA2022_000192-R0	NA
SpGA2022_000193-R0	GO:0005515
SpGA2022_000194-R0	NA
SpGA2022_000195-R0	GO:0005975,GO:0016301
SpGA2022_000196-R0	NA
SpGA2022_000197-R0	GO:0016757
SpGA2022_000197-R1	GO:0016757
SpGA2022_000199-R0	NA
SpGA2022_050046-R0	GO:0004610,GO:0005975,GO:0016868,GO:0071704
SpGA2022_050047-R0	GO:0005515,GO:0006355
SpGA2022_000202-R0	NA
SpGA2022_000203-R0	GO:0003677,GO:0046983
SpGA2022_050048-R0	GO:0015031,GO:0016021
SpGA2022_000205-R0	NA
SpGA2022_050049-R0	GO:0003676,GO:0004386,GO:0005524
SpGA2022_000207-R0	GO:0003924,GO:0007165,GO:0007186,GO:0019001,GO:0031683
SpGA2022_000208-R0	NA
SpGA2022_050050-R0	GO:0000166,GO:0004812,GO:0004820,GO:0005524,GO:0005737,GO:0006418,GO:0006426
SpGA2022_000210-R0	NA
SpGA2022_000211-R0	NA
SpGA2022_000212-R0	NA
SpGA2022_000213-R0	NA
SpGA2022_000214-R0	GO:0003854,GO:0006694,GO:0016616
SpGA2022_000215-R0	NA
SpGA2022_000216-R0	NA
SpGA2022_000217-R0	NA
SpGA2022_000218-R0	GO:0005524
SpGA2022_000219-R0	NA
SpGA2022_050051-R0	NA
SpGA2022_000221-R0	NA
SpGA2022_000222-R0	NA
SpGA2022_000222-R1	NA
SpGA2022_000223-R0	NA
SpGA2022_000224-R0	GO:0003700
SpGA2022_000225-R0	NA
SpGA2022_050053-R0	NA
SpGA2022_000227-R0	NA
SpGA2022_000228-R0	GO:0030599,GO:0042545
SpGA2022_000229-R0	NA
SpGA2022_050054-R0	GO:0005507,GO:0016491,GO:0046274,GO:0048046,GO:0052716
SpGA2022_050055-R0	GO:0003824,GO:0005975,GO:0016853,GO:0030246
SpGA2022_000232-R0	GO:0005515,GO:0008270
SpGA2022_000232-R1	GO:0005515,GO:0008270
SpGA2022_000233-R0	GO:0016192,GO:0030008
SpGA2022_050057-R0	NA
SpGA2022_000235-R0	GO:0004585,GO:0006520,GO:0006591,GO:0016597,GO:0016743
SpGA2022_000236-R0	NA
SpGA2022_000237-R0	GO:0003677
SpGA2022_000238-R0	GO:0010099
SpGA2022_000239-R0	NA
SpGA2022_000240-R0	GO:0003735,GO:0005840,GO:0006412
SpGA2022_000241-R0	NA
SpGA2022_000242-R0	GO:0005506,GO:0008168,GO:0016705,GO:0020037
SpGA2022_050058-R0	GO:0003824
SpGA2022_000244-R0	GO:0015631,GO:0031625,GO:0044548
SpGA2022_000245-R0	NA
SpGA2022_000246-R0	NA
SpGA2022_000247-R0	NA
SpGA2022_000248-R0	GO:0004843,GO:0005515,GO:0016579
SpGA2022_050059-R0	NA
SpGA2022_000249-R0	NA
SpGA2022_000251-R0	NA
SpGA2022_000252-R0	NA
SpGA2022_000253-R0	NA
SpGA2022_000254-R0	NA
SpGA2022_000255-R0	NA
SpGA2022_000256-R0	GO:0003723,GO:0008168
SpGA2022_000257-R0	NA
SpGA2022_000258-R0	GO:0032984,GO:0051117
SpGA2022_000259-R0	NA
SpGA2022_000260-R0	GO:0003924,GO:0006807,GO:0016151
SpGA2022_000261-R0	NA
SpGA2022_000262-R0	NA
SpGA2022_000263-R0	GO:0008194
SpGA2022_000264-R0	NA
SpGA2022_000265-R0	GO:0061657,GO:0071569
SpGA2022_000266-R0	NA
SpGA2022_000267-R0	NA
SpGA2022_050060-R0	GO:0004611,GO:0004612,GO:0005524,GO:0006094,GO:0017076
SpGA2022_000269-R0	GO:0004611,GO:0004612,GO:0005524,GO:0006094,GO:0017076
SpGA2022_000270-R0	NA
SpGA2022_000271-R0	GO:0008883,GO:0033014,GO:0050661
SpGA2022_000271-R1	GO:0008883,GO:0033014,GO:0050661
SpGA2022_000272-R0	NA
SpGA2022_050062-R0	GO:0004672,GO:0005524,GO:0006468,GO:0007165
SpGA2022_000274-R0	NA
SpGA2022_000275-R0	GO:0003824,GO:0005975,GO:0016853,GO:0030246
SpGA2022_000276-R0	GO:0003824,GO:0004372,GO:0019264,GO:0030170,GO:0035999
SpGA2022_000277-R0	NA
SpGA2022_050063-R0	GO:0003700,GO:0006352,GO:0006355
SpGA2022_000279-R0	NA
SpGA2022_050064-R0	GO:0003972,GO:0006388
SpGA2022_000281-R0	NA
SpGA2022_050065-R0	NA
SpGA2022_050066-R0	GO:0003676,GO:0008270
SpGA2022_050067-R0	GO:0005524,GO:0007018,GO:0008017,GO:1990939
SpGA2022_050068-R0	NA
SpGA2022_000286-R0	NA
SpGA2022_000287-R0	GO:0003676,GO:0003723
SpGA2022_000288-R0	GO:0005515
SpGA2022_000289-R0	NA
SpGA2022_050069-R0	GO:0005515
SpGA2022_000291-R0	NA
SpGA2022_000292-R0	NA
SpGA2022_000293-R0	NA
SpGA2022_000294-R0	GO:0003677,GO:0003899,GO:0006351,GO:0008270
SpGA2022_050070-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_050071-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_000297-R0	GO:0003677,GO:0003899,GO:0006351,GO:0008270
SpGA2022_000298-R0	GO:0003677,GO:0003899,GO:0006351,GO:0008270
SpGA2022_000299-R0	NA
SpGA2022_000300-R0	NA
SpGA2022_000301-R0	GO:0004672,GO:0005524,GO:0006468
SpGA2022_050072-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_000303-R0	NA
SpGA2022_000303-R1	NA
SpGA2022_000304-R0	NA
SpGA2022_000305-R0	NA
SpGA2022_050074-R0	GO:0005515
SpGA2022_000307-R0	NA
SpGA2022_000308-R0	NA
SpGA2022_000309-R0	NA
SpGA2022_000310-R0	GO:0005515
SpGA2022_000311-R0	NA
SpGA2022_000312-R0	NA
SpGA2022_000313-R0	NA
SpGA2022_000314-R0	NA
SpGA2022_000315-R0	GO:0003676
SpGA2022_000316-R0	NA
SpGA2022_000317-R0	NA
SpGA2022_000318-R0	GO:0005515
SpGA2022_000319-R0	NA
SpGA2022_000320-R0	NA
SpGA2022_000321-R0	NA
SpGA2022_000321-R1	GO:0004672,GO:0005524,GO:0006468
SpGA2022_000322-R0	GO:0016791
SpGA2022_050076-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_000324-R0	GO:0016791
SpGA2022_000325-R0	GO:0004616,GO:0006098,GO:0016491,GO:0050661
SpGA2022_000326-R0	GO:0005515
SpGA2022_000327-R0	NA
SpGA2022_050077-R0	GO:0004888,GO:0007166,GO:0016021
SpGA2022_000329-R0	GO:0004252,GO:0006508,GO:0008236
SpGA2022_050078-R0	GO:0004252,GO:0006508,GO:0008236
SpGA2022_000331-R0	NA
SpGA2022_050079-R0	NA
SpGA2022_000333-R0	GO:0005515,GO:0016491,GO:0016702,GO:0046872
SpGA2022_000333-R1	GO:0005515,GO:0016702,GO:0046872
SpGA2022_000335-R0	GO:0005375,GO:0016021,GO:0035434
SpGA2022_000336-R0	GO:0004029,GO:0016491,GO:0016620
SpGA2022_000337-R0	NA
SpGA2022_000338-R0	GO:0005839,GO:0006511,GO:0019773,GO:0051603
SpGA2022_050081-R0	NA
SpGA2022_000340-R0	NA
SpGA2022_050082-R0	GO:0000956
SpGA2022_000342-R0	GO:0005515
SpGA2022_000342-R1	GO:0005515
SpGA2022_050084-R0	NA
SpGA2022_000344-R0	GO:0005515
SpGA2022_000345-R0	GO:0009765,GO:0016020
SpGA2022_000345-R1	GO:0009765,GO:0016020
SpGA2022_000346-R0	NA
SpGA2022_000347-R0	GO:0004650,GO:0005975
SpGA2022_000348-R0	NA
SpGA2022_000349-R0	NA
SpGA2022_000350-R0	NA
SpGA2022_000351-R0	GO:0003676
SpGA2022_000352-R0	NA
SpGA2022_000353-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_000353-R1	GO:0005515,GO:0015995,GO:0033014
SpGA2022_050087-R0	NA
SpGA2022_000355-R0	GO:0005524,GO:0006457,GO:0016887,GO:0046914,GO:1901671
SpGA2022_000356-R0	GO:0003677,GO:0005515,GO:0005634,GO:0006355,GO:0009725
SpGA2022_000357-R0	NA
SpGA2022_000358-R0	GO:0005643,GO:0017056
SpGA2022_000359-R0	NA
SpGA2022_050088-R0	NA
SpGA2022_000361-R0	GO:0004857
SpGA2022_000362-R0	NA
SpGA2022_050089-R0	GO:0016746
SpGA2022_050090-R0	GO:0046872
SpGA2022_000365-R0	GO:0000124,GO:0003712
SpGA2022_000365-R1	NA
SpGA2022_000367-R0	GO:0004601,GO:0016491,GO:0050664
SpGA2022_000368-R0	GO:0009055,GO:0051536
SpGA2022_000369-R0	GO:0009733
SpGA2022_000370-R0	GO:0030599,GO:0042545
SpGA2022_000371-R0	NA
SpGA2022_000372-R0	NA
SpGA2022_000373-R0	NA
SpGA2022_000375-R0	GO:0004222,GO:0016020,GO:0071586
SpGA2022_000375-R1	NA
SpGA2022_000376-R0	NA
SpGA2022_050093-R0	GO:0016791,GO:0043813,GO:0046856
SpGA2022_000378-R0	GO:0003824,GO:0009058,GO:0030170
SpGA2022_000379-R0	NA
SpGA2022_000380-R0	NA
SpGA2022_000380-R1	GO:0003677,GO:0003700,GO:0006355
SpGA2022_000382-R0	NA
SpGA2022_000383-R0	GO:0004252,GO:0006508,GO:0008236
SpGA2022_000384-R0	NA
SpGA2022_000385-R0	GO:0003824,GO:0009058,GO:0030170
SpGA2022_000386-R0	NA
SpGA2022_000387-R0	NA
SpGA2022_000388-R0	NA
SpGA2022_000389-R0	GO:0005524,GO:0016307,GO:0016887,GO:0046488,GO:0046872
SpGA2022_000390-R0	GO:0016307,GO:0046488
SpGA2022_000391-R0	NA
SpGA2022_000392-R0	NA
SpGA2022_050095-R0	GO:0005515,GO:0008270
SpGA2022_000393-R0	GO:0005515
SpGA2022_000394-R0	GO:0004857,GO:0030599,GO:0042545
SpGA2022_000396-R0	NA
SpGA2022_050096-R0	GO:0004857,GO:0030599,GO:0042545
SpGA2022_000398-R0	NA
SpGA2022_000399-R0	NA
SpGA2022_050097-R0	GO:0004857,GO:0030599,GO:0042545
SpGA2022_000401-R0	NA
SpGA2022_000403-R0	NA
SpGA2022_050098-R0	GO:0004857,GO:0030599,GO:0042545
SpGA2022_050099-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_000406-R0	NA
SpGA2022_000407-R0	GO:0004553,GO:0005975
SpGA2022_050100-R0	GO:0016117,GO:0016166,GO:0016491
SpGA2022_050101-R0	GO:0004843,GO:0016579
SpGA2022_000410-R0	NA
SpGA2022_000411-R0	NA
SpGA2022_050102-R0	NA
SpGA2022_050103-R0	GO:0006812,GO:0006816,GO:0008324,GO:0015369,GO:0016021,GO:0055085
SpGA2022_000414-R0	NA
SpGA2022_000415-R0	NA
SpGA2022_000416-R0	NA
SpGA2022_000417-R0	NA
SpGA2022_000418-R0	NA
SpGA2022_000419-R0	NA
SpGA2022_000420-R0	NA
SpGA2022_000421-R0	GO:0009733
SpGA2022_000422-R0	NA
SpGA2022_000423-R0	NA
SpGA2022_000424-R0	GO:0016020
SpGA2022_000425-R0	NA
SpGA2022_000426-R0	GO:0008270
SpGA2022_000427-R0	NA
SpGA2022_000428-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_000428-R1	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_000429-R0	NA
SpGA2022_050105-R0	GO:0006506,GO:0016787
SpGA2022_000431-R0	GO:0000145,GO:0006887
SpGA2022_000432-R0	NA
SpGA2022_000433-R0	NA
SpGA2022_000434-R0	NA
SpGA2022_050106-R0	NA
SpGA2022_000436-R0	GO:0006952,GO:0045926
SpGA2022_000437-R0	NA
SpGA2022_000438-R0	GO:0006952,GO:0045926
SpGA2022_000439-R0	GO:0006952,GO:0045926
SpGA2022_000440-R0	GO:0006952,GO:0045926
SpGA2022_000441-R0	GO:0006952,GO:0045926
SpGA2022_000442-R0	GO:0006952,GO:0045926
SpGA2022_000443-R0	GO:0006952,GO:0045926
SpGA2022_000444-R0	GO:0005960,GO:0019464
SpGA2022_000445-R0	NA
SpGA2022_000446-R0	GO:0005515
SpGA2022_000447-R0	NA
SpGA2022_050107-R0	NA
SpGA2022_000449-R0	GO:0005737,GO:0006887
SpGA2022_050108-R0	GO:0008934,GO:0046854,GO:0046855
SpGA2022_050109-R0	NA
SpGA2022_000452-R0	GO:0006401,GO:0032299
SpGA2022_000453-R0	NA
SpGA2022_000454-R0	NA
SpGA2022_000455-R0	NA
SpGA2022_050110-R0	GO:0005385,GO:0016020,GO:0016021,GO:0030001,GO:0046873,GO:0055085,GO:0071577
SpGA2022_000457-R0	GO:0005385,GO:0016020,GO:0016021,GO:0030001,GO:0046873,GO:0055085,GO:0071577
SpGA2022_000457-R1	GO:0005385,GO:0016020,GO:0016021,GO:0030001,GO:0046873,GO:0055085,GO:0071577
SpGA2022_000458-R0	GO:0003677,GO:0003899,GO:0006351
SpGA2022_000459-R0	GO:0003676,GO:0004386
SpGA2022_050112-R0	GO:0005515,GO:0009862,GO:2000022,GO:2000031
SpGA2022_000461-R0	NA
SpGA2022_000462-R0	GO:0016021
SpGA2022_000463-R0	GO:0003924,GO:0005525
SpGA2022_000464-R0	NA
SpGA2022_050113-R0	NA
SpGA2022_000466-R0	GO:0003677,GO:0006355
SpGA2022_000467-R0	GO:0005515
SpGA2022_000468-R0	GO:0003824,GO:0006777,GO:0008265,GO:0030151,GO:0030170
SpGA2022_000469-R0	NA
SpGA2022_000470-R0	GO:0005749
SpGA2022_000471-R0	GO:0007142
SpGA2022_000472-R0	GO:0009579
SpGA2022_050114-R0	NA
SpGA2022_000474-R0	NA
SpGA2022_050115-R0	NA
SpGA2022_000476-R0	GO:0004650,GO:0005975
SpGA2022_000477-R0	NA
SpGA2022_000478-R0	GO:0004386
SpGA2022_000479-R0	NA
SpGA2022_000480-R0	GO:0003700,GO:0006355,GO:0043565
SpGA2022_000481-R0	NA
SpGA2022_000482-R0	GO:0005385,GO:0016020,GO:0016021,GO:0030001,GO:0046873,GO:0055085,GO:0071577
SpGA2022_050116-R0	NA
SpGA2022_000484-R0	NA
SpGA2022_000485-R0	NA
SpGA2022_050117-R0	GO:0003712,GO:0006357,GO:0016592
SpGA2022_050118-R0	GO:0006486,GO:0016021,GO:0016757
SpGA2022_000487-R0	GO:0046872
SpGA2022_000488-R0	NA
SpGA2022_000489-R0	NA
SpGA2022_000491-R0	GO:0006355,GO:0008270,GO:0043565
SpGA2022_000492-R0	GO:0005634,GO:0006334
SpGA2022_000493-R0	GO:0004672,GO:0004674,GO:0005524,GO:0006468
SpGA2022_050119-R0	GO:0016791
SpGA2022_000494-R0	NA
SpGA2022_050120-R0	NA
SpGA2022_050121-R0	GO:0003746,GO:0006414
SpGA2022_050122-R0	GO:0006508,GO:0008237,GO:0008270
SpGA2022_000500-R0	NA
SpGA2022_000501-R0	NA
SpGA2022_000501-R1	NA
SpGA2022_050124-R0	NA
SpGA2022_000502-R0	NA
SpGA2022_000504-R0	NA
SpGA2022_000505-R0	NA
SpGA2022_000506-R0	NA
SpGA2022_000507-R0	NA
SpGA2022_000508-R0	NA
SpGA2022_000509-R0	NA
SpGA2022_000510-R0	NA
SpGA2022_000511-R0	NA
SpGA2022_000512-R0	NA
SpGA2022_000513-R0	GO:0005506,GO:0016705,GO:0020037
SpGA2022_050125-R0	GO:0005515
SpGA2022_000516-R0	NA
SpGA2022_000517-R0	NA
SpGA2022_000518-R0	NA
SpGA2022_000519-R0	NA
SpGA2022_000520-R0	GO:0015078,GO:0033179,GO:1902600
SpGA2022_000521-R0	GO:0003677,GO:0003697,GO:0006355,GO:0006952
SpGA2022_050126-R0	GO:0000166,GO:0004812,GO:0004819,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006425,GO:0043039
SpGA2022_050127-R0	NA
SpGA2022_050128-R0	GO:0000786,GO:0003677,GO:0046982
SpGA2022_000525-R0	NA
SpGA2022_050129-R0	GO:0004672,GO:0005524,GO:0006468
SpGA2022_050130-R0	NA
SpGA2022_050131-R0	NA
SpGA2022_050132-R0	NA
SpGA2022_000530-R0	GO:0030570
SpGA2022_000532-R0	GO:0005524,GO:0016021,GO:0042626,GO:0055085
SpGA2022_000532-R1	GO:0016021,GO:0042626,GO:0055085
SpGA2022_000533-R0	NA
SpGA2022_000534-R0	GO:0005524,GO:0016021,GO:0042626,GO:0055085
SpGA2022_000535-R0	GO:0006633,GO:0016020,GO:0016746,GO:0016747
SpGA2022_050134-R0	NA
SpGA2022_000537-R0	NA
SpGA2022_000538-R0	GO:0046982
SpGA2022_050135-R0	GO:0000287,GO:0006400,GO:0008193
SpGA2022_000540-R0	NA
SpGA2022_000541-R0	GO:0016020,GO:0016192
SpGA2022_000542-R0	GO:0003723,GO:0003743,GO:0006413
SpGA2022_000543-R0	GO:0004553,GO:0005975
SpGA2022_000544-R0	GO:0000276,GO:0015078,GO:0015986
SpGA2022_000545-R0	NA
SpGA2022_050136-R0	NA
SpGA2022_000547-R0	NA
SpGA2022_000548-R0	GO:0003677
SpGA2022_000549-R0	GO:0005344,GO:0015671,GO:0019825,GO:0020037
SpGA2022_000550-R0	NA
SpGA2022_050137-R0	GO:0003676,GO:0003677,GO:0003678,GO:0004386,GO:0005524,GO:0006139,GO:0016818
SpGA2022_000553-R0	GO:0000786,GO:0003677,GO:0006334
SpGA2022_000554-R0	GO:0003677
SpGA2022_000555-R0	NA
SpGA2022_000556-R0	NA
SpGA2022_000557-R0	NA
SpGA2022_050138-R0	NA
SpGA2022_000559-R0	NA
SpGA2022_000560-R0	GO:0005515
SpGA2022_050139-R0	GO:0004672,GO:0005524,GO:0006468
SpGA2022_050140-R0	NA
SpGA2022_000564-R0	NA
SpGA2022_000566-R0	GO:0006351
SpGA2022_000566-R1	NA
SpGA2022_000567-R0	NA
SpGA2022_000568-R0	GO:0004672,GO:0005515,GO:0005524,GO:0006468
SpGA2022_050142-R0	GO:0005515
SpGA2022_000570-R0	NA
SpGA2022_000571-R0	NA
SpGA2022_000572-R0	NA
SpGA2022_000573-R0	NA
SpGA2022_050143-R0	GO:0006511,GO:0031625
SpGA2022_050144-R0	GO:0005509,GO:0006355
SpGA2022_000576-R0	NA
SpGA2022_000577-R0	GO:0003677,GO:0006355
SpGA2022_000578-R0	NA
SpGA2022_000579-R0	NA
SpGA2022_000580-R0	NA
SpGA2022_000581-R0	NA
SpGA2022_000582-R0	NA
SpGA2022_000583-R0	GO:0003676,GO:0015074
SpGA2022_000584-R0	NA
SpGA2022_000585-R0	NA
SpGA2022_000586-R0	NA
SpGA2022_050145-R0	GO:0004373
SpGA2022_000588-R0	NA
SpGA2022_000589-R0	NA
SpGA2022_000590-R0	NA
SpGA2022_000591-R0	NA
SpGA2022_000592-R0	NA
SpGA2022_000593-R0	NA
SpGA2022_000594-R0	NA
SpGA2022_050146-R0	NA
SpGA2022_000596-R0	NA
SpGA2022_000597-R0	NA
SpGA2022_000598-R0	NA
SpGA2022_000599-R0	GO:0004518,GO:0006281
SpGA2022_050147-R0	NA
SpGA2022_000601-R0	GO:0005515
SpGA2022_000601-R1	GO:0005515
SpGA2022_000602-R0	NA
SpGA2022_000603-R0	GO:0003677
SpGA2022_050149-R0	NA
SpGA2022_000605-R0	NA
SpGA2022_000606-R0	GO:0003677,GO:0006355
SpGA2022_000607-R0	NA
